i getaccept E*A dH rho ddH Q
0 0 1.000000000000000e+00 5.389685719153274e+70 0.000000000000000e+00 NA -0.000000000000000e+00
1 0 1.000000000000000e+00 6.572709096262267e+70 0.000000000000000e+00 NA -0.000000000000000e+00
2 0 1.000000000000000e+00 6.520181728683242e+70 0.000000000000000e+00 NA -0.000000000000000e+00
3 0 1.000000000000000e+00 5.427491479267485e+70 0.000000000000000e+00 NA -0.000000000000000e+00
4 0 1.000000000000000e+00 5.831650600585761e+70 0.000000000000000e+00 NA -0.000000000000000e+00
5 0 1.000000000000000e+00 6.258094266440759e+70 0.000000000000000e+00 NA -0.000000000000000e+00
6 0 1.000000000000000e+00 6.330559727807008e+70 0.000000000000000e+00 NA -0.000000000000000e+00
7 0 1.000000000000000e+00 5.677397825317302e+70 0.000000000000000e+00 NA -0.000000000000000e+00
8 0 1.000000000000000e+00 6.239920970641622e+70 0.000000000000000e+00 NA -0.000000000000000e+00
9 0 1.000000000000000e+00 6.125125789074061e+70 0.000000000000000e+00 NA -0.000000000000000e+00
10 0 1.000000000000000e+00 6.244698635671606e+70 0.000000000000000e+00 NA -0.000000000000000e+00
