## HMC Algorithm for U(1) gauge theory
## (C) Carsten Urbach <urbach@hiskp.uni-bonn.de> (2017, 2021)
## GIT branch staggered_yaml on commit 075bfc5
## Parsing input file: hmc_rot.input
## geometry:X=2
## geometry:Y=2
## geometry:Z=2
## geometry:T=2
## geometry:ndims=4
## geometry:rotating_frame:Omega=0
## monomials:gauge:beta=1.9
## hmc:n_save=10
## hmc:n_meas=1000
check 0
## hmc:restart=0 (default)
check 0
## hmc:heat=1
check 0
## hmc:seed=93746
## hmc:configname=
## hmc:conf_dir=./confs/
## hmc:conf_basename=u1_conf (default)
## hmc:lenghty_conf_name=1
## hmc:beta_str_width=6 (default)
## integrator:N_rev=0
## integrator:n_steps=50
## integrator:tau=1
## integrator:exponent=0
## integrator:name=leapfrog
## omeas:verbosity=1
## omeas:icounter=20
## omeas:nstep=30
## omeas:Wloop=1
hotstart 93746 1
## Initital Plaquette: -0.0455674
## Plaquette after rnd trafo: -0.0455674
## MD integrator: leapfrog
## Normalization factor: A = 2/(d*(d-1)*N_lat*N_c) = 1.041666666666667e-02
## Acceptance rate parcentage: rho = rate/(i+1)
i getaccept E*A dH rho ddH Q
0 1 2.543394391466117e-01 -2.361825486772773e-02 1.000000000000000e+00 NA -1.029436658671367e-02
1 1 4.649591163019109e-01 -1.561165834756650e-02 1.000000000000000e+00 NA 1.252367880687795e-03
2 1 6.237937465130604e-01 -3.985268120409557e-02 1.000000000000000e+00 NA -2.334767357475458e-03
3 1 6.251908695807820e-01 1.423828555893181e-03 1.000000000000000e+00 NA -4.773385125697686e-03
4 1 6.419384040369551e-01 8.869190514673164e-04 1.000000000000000e+00 NA -7.242365378536397e-04
5 1 6.816845911201181e-01 -5.690876280681323e-03 1.000000000000000e+00 NA 2.936233676480743e-03
6 1 7.431667689871038e-01 -5.464483008900345e-03 1.000000000000000e+00 NA 9.179882707793207e-04
7 1 7.600174494652356e-01 -1.023347226871252e-02 1.000000000000000e+00 NA 1.881524452302599e-04
8 1 6.932564945824673e-01 1.346265745808495e-02 1.000000000000000e+00 NA -2.933357167424021e-03
9 1 7.568654021157901e-01 -1.150152000334259e-02 1.000000000000000e+00 NA -2.006525118634881e-03
10 1 7.378475510344280e-01 8.655316604080809e-03 1.000000000000000e+00 NA -3.531715471554270e-04
11 1 7.866705106349273e-01 -1.568075569013772e-02 1.000000000000000e+00 NA 5.356003814054812e-05
12 1 7.599797333637841e-01 8.640098053128042e-03 1.000000000000000e+00 NA 5.772528934264516e-04
13 1 8.563660385870602e-01 -2.448539456748122e-02 1.000000000000000e+00 NA -1.431468289322194e-04
14 1 8.692241381147126e-01 4.219627447987762e-04 1.000000000000000e+00 NA 1.813826539045861e-06
15 1 8.423631253031659e-01 4.774644629453206e-03 1.000000000000000e+00 NA 9.901835227184450e-05
16 1 8.459381476016981e-01 4.605802577160034e-04 1.000000000000000e+00 NA 5.270062704619469e-05
17 1 8.200905154002462e-01 7.277070413184816e-03 1.000000000000000e+00 NA -9.430835506585326e-05
18 1 8.420075003962806e-01 -5.398622879877024e-03 1.000000000000000e+00 NA 5.163489385302898e-05
19 1 8.627894307631554e-01 -1.102566771088576e-02 1.000000000000000e+00 NA -1.019217610746018e-04
20 1 8.516727892598910e-01 7.309110008147712e-03 1.000000000000000e+00 NA -1.790312967218617e-04
21 1 8.203290469562138e-01 8.248530314233449e-03 1.000000000000000e+00 NA -8.598881560791191e-04
22 1 8.075036387476464e-01 -1.277400777375703e-03 1.000000000000000e+00 NA -1.006762867238665e-03
23 1 8.278437266786695e-01 -1.238438606293357e-03 1.000000000000000e+00 NA 1.677044749015930e-04
24 1 8.381035444941780e-01 5.572253146191031e-04 1.000000000000000e+00 NA -5.027356868232242e-05
25 1 8.583270377654912e-01 -3.852871232023602e-03 1.000000000000000e+00 NA 3.227593032881382e-05
26 1 8.459160341322471e-01 -3.061408892193640e-03 1.000000000000000e+00 NA -4.976795973303791e-05
27 1 8.417412252202828e-01 5.759840174370368e-03 1.000000000000000e+00 NA 1.603053726925685e-05
28 1 8.595426504226046e-01 -6.403019130495125e-03 1.000000000000000e+00 NA 7.932345072420617e-06
29 1 8.278550320100125e-01 9.830586082639314e-03 1.000000000000000e+00 NA 3.232816127786569e-05
30 1 8.251745721642705e-01 -7.678843906226973e-04 1.000000000000000e+00 NA 1.831398578538487e-04
## online measuring: Wilson loop
31 1 8.316859549325267e-01 -4.852878322385124e-03 1.000000000000000e+00 NA -1.740987359644054e-04
32 1 8.495317971598602e-01 -2.339015668219702e-03 1.000000000000000e+00 NA 9.110248435721960e-05
33 1 8.466889970378016e-01 2.960185788744241e-03 1.000000000000000e+00 NA -4.221235798452844e-05
34 1 8.531956645477666e-01 -2.628722887308754e-03 1.000000000000000e+00 NA -3.100787453561985e-04
35 1 8.607900497607883e-01 -4.135277376136060e-03 1.000000000000000e+00 NA -3.541659627217104e-05
36 1 8.600341044215050e-01 -4.539165237289922e-03 1.000000000000000e+00 NA -4.763517180425711e-05
37 1 8.523302725044913e-01 1.690140897814274e-03 1.000000000000000e+00 NA 7.081885718380942e-05
38 1 8.532919611900933e-01 2.208425639064870e-03 1.000000000000000e+00 NA -8.868747494914517e-05
39 1 8.593374011021453e-01 -3.006150739004454e-03 1.000000000000000e+00 NA -2.738914071140197e-04
40 1 8.654745176771026e-01 3.010491038327956e-03 1.000000000000000e+00 NA -4.977018695130665e-05
41 1 8.766847505505574e-01 -1.475782987395036e-03 1.000000000000000e+00 NA 8.740175401686423e-05
42 1 8.843576167286387e-01 -3.815647231533603e-03 1.000000000000000e+00 NA 4.302072971540715e-05
43 1 8.881093555225708e-01 3.493799896567396e-03 1.000000000000000e+00 NA 5.246479468493466e-05
44 1 8.833707433673397e-01 9.812275286975591e-04 1.000000000000000e+00 NA -1.692826338325482e-05
45 1 8.510386653765636e-01 1.008627209782276e-02 1.000000000000000e+00 NA 1.435101352682509e-04
46 1 8.532116068183179e-01 -1.145505450566020e-03 1.000000000000000e+00 NA -5.871122012751136e-05
47 1 8.636802254436369e-01 -1.106858575564473e-03 1.000000000000000e+00 NA 6.151166795814244e-05
48 1 8.922691582429563e-01 -8.351083499853473e-03 1.000000000000000e+00 NA -8.049637981227505e-05
49 1 8.515634873266192e-01 1.756390574195166e-02 1.000000000000000e+00 NA -1.150418267748823e-04
50 1 8.943112248202354e-01 -1.596793002858377e-02 1.000000000000000e+00 NA 6.986048608673040e-06
51 1 8.791740127274430e-01 7.717875640704364e-03 1.000000000000000e+00 NA -3.997684575570126e-06
52 1 8.709953573726660e-01 -3.837719535226825e-05 1.000000000000000e+00 NA -4.986438781729132e-05
